gm,c1,c2
Gm01.624393,-0.1144374163,0.5020802456
Gm01.624416,-0.08888725099,0.6280730569
Gm01.626785,-0.4178240891,0.04513111497
Gm01.634917,0.01030404994,0.9522944695
Gm01.635780,0.01275343816,0.9009995936
Gm01.644095,0.1033748094,0.3349190496
Gm01.646150,-0.04624923074,0.5308605659
Gm01.647437,0.09643094295,0.2010277894
Gm01.682392,0.03997537486,0.7176140707
Gm01.708215,0.002443953411,0.9626352641
Gm01.708545,0.07716702007,0.4098859449
Gm01.738295,-0.1203457339,0.6046305563
Gm01.749126,-0.107885623,0.5373737356
Gm01.766182,0.01162831541,0.8680803308
Gm01.766278,-0.020966241,0.6760097693
Gm01.768871,0.2570252902,0.3470427934
Gm01.769512,-0.3556403173,0.09824557867
Gm01.787346,0.1709686558,0.4124442568
Gm01.787460,-0.2118035592,0.3358596684
Gm01.789059,-0.004557830671,0.9293597615
Gm01.790042,0.5222561592,0.005137092157
Gm01.790054,0.3474526026,0.07361493486
Gm01.803793,0.03567584714,0.5096830721
Gm01.804370,0.0295829657,0.6074201201
Gm01.805731,-0.01045221191,0.8377050672
Gm01.805964,-0.09427689891,0.2121355805
Gm01.807340,-0.0234919372,0.7627257699
Gm01.807877,0.00988367689,0.8496245183
Gm01.821932,-0.03321076745,0.8965738224
Gm01.822074,0.1257279463,0.4673151791
Gm01.829216,-0.267870002,0.1769379729
Gm01.830089,-0.1153722565,0.1368852746
Gm01.831079,0.1050500086,0.6114079705
Gm01.838920,-0.2797030179,0.1387965629
Gm01.839011,-0.1474739628,0.2507449149
Gm01.839651,0.0229364532,0.7789633452
Gm01.839708,0.02988246465,0.8416670325
Gm01.839840,-0.159344119,0.5467299755
Gm01.849127,0.07203834956,0.4488175913
Gm01.853042,-0.2099650796,0.3944923185
Gm01.853221,-0.08296121556,0.1136511686
Gm01.853332,-0.1740031698,0.0339200939
Gm01.864156,0.01060653112,0.8884569464
Gm01.869724,0.06054314131,0.4324957859
Gm01.872232,0.07437758559,0.3647352737
Gm01.872497,-0.09653092847,0.5074554038
Gm01.872770,-0.03055106275,0.6019067844
Gm01.873231,-0.2107659912,0.2267836805
Gm01.908658,0.05262749035,0.2692814495
Gm01.909497,-0.005579527678,0.9240375086
Gm01.910038,-0.1622562899,0.05238551942
Gm01.911515,0.07311299185,0.172898369
Gm01.914956,0.06971773909,0.6577085123
Gm01.915652,0.09038752757,0.06142580294
Gm01.936335,0.06318882993,0.2279592726
Gm01.954593,-0.01047941549,0.8680249715
Gm01.956527,-0.07116603822,0.3282591973
Gm01.982208,0.04838946375,0.3442559396
Gm01.982317,0.1055018939,0.455548906
Gm01.983274,-0.3080671755,0.03617270164
Gm01.995207,-0.3189096934,0.1185723546
Gm01.995393,0.1078192682,0.02998294891
Gm01.1003780,-0.05548588097,0.297711135
Gm01.1011334,0.01264703566,0.790069694
Gm01.1019233,-0.2727830385,0.1667068752
Gm01.1020729,0.03181704672,0.8214403665
Gm01.1031400,0.02590675828,0.8660455282
Gm01.1040843,-0.02865342371,0.6666402808
Gm01.1041047,0.03165434833,0.5228389197
Gm01.1059820,0.1237890385,0.0673130812
Gm01.1091977,0.2277658479,0.08506998559
Gm01.1094602,0.01296954369,0.9649459921
Gm01.1094715,-0.3134115868,0.1418380106
Gm01.1142284,0.2736222061,0.08436969524
Gm01.1142483,0.1275094956,0.5583870015
Gm01.1143135,0.1307985379,0.5183520459
Gm01.1157954,0.004496220155,0.9366018373
Gm01.1160353,-0.04408459688,0.3796635887
Gm01.1184381,0.01083617333,0.855198363
Gm01.1194108,0.08351950306,0.6421539585
Gm01.1201448,0.0365430891,0.7126910234
Gm01.1204672,0.1264830853,0.3269755413
Gm01.1208217,-0.01398627928,0.8881766836
Gm01.1228119,0.08735460913,0.6877834288
Gm01.1230031,0.1088146915,0.4436435423
Gm01.1230034,-0.3622419494,0.102600015
Gm01.1235206,0.2132811999,0.2674611002
Gm01.1236014,-0.1051352324,0.5830944441
Gm01.1247200,-0.03115887071,0.6478524611
Gm01.1269257,-0.0581101552,0.2765086579
Gm01.1270809,0.008213537452,0.8695085677
Gm01.1271824,0.0449908046,0.3939971826
Gm01.1272120,0.1918988571,0.08070725707
Gm01.1272582,-0.09505912235,0.05617023945
Gm01.1272646,0.02382716997,0.6721618702
Gm01.1272962,0.04530344415,0.6440577356
Gm01.1273100,0.01025795824,0.8803203436
Gm01.1274658,0.01504446253,0.7824547144
Gm01.1285858,0.1497298598,0.2573393407
Gm01.1285961,0.2683621695,0.230509494
Gm01.1286532,-0.01254564728,0.9063480604
Gm01.1286841,0.08416859499,0.4903398671
Gm01.1286946,0.001401812192,0.994894912
Gm01.1287527,0.02751210891,0.8689439008
Gm01.1287538,-0.03124192441,0.8770116258
Gm01.1287620,0.1807969255,0.445739118
Gm01.1289620,-0.0118303298,0.8530831901
Gm01.1292659,-0.07763001263,0.2865333132
Gm01.1292959,0.06591766876,0.5025138379
Gm01.1302964,-0.01985674057,0.749370984
Gm01.1315577,0.1393922488,0.3406255201
Gm01.1315584,-0.1681915748,0.3952481165
Gm01.1328035,-0.01304115259,0.9405035386
Gm01.1329050,-0.05523062149,0.7403158374
Gm01.1330002,-0.06781807284,0.2105311707
Gm01.1338415,-0.1264137343,0.05529866384
Gm01.1338628,0.0006406055968,0.9914844097
Gm01.1339073,-0.08591145854,0.0764986669
Gm01.1339312,-0.01606113429,0.9277648239
Gm01.1339744,-0.02020859325,0.6658640573
Gm01.1340712,-0.0360503717,0.5405755544
Gm01.1340953,-0.1222643351,0.09085131647
Gm01.1341283,0.07374676548,0.108123324
Gm01.1355047,-0.01548580592,0.7773858009
Gm01.1356202,0.09123476019,0.08318275406
Gm01.1377263,0.09082318195,0.638741056
Gm01.1389286,-0.06694029784,0.1772618715
Gm01.1397711,-0.1469210629,0.6324708538
Gm01.1432834,0.001116749184,0.9876318431
Gm01.1433125,0.05987408489,0.2351087728
Gm01.1433706,-0.02284339668,0.7075501017
Gm01.1463358,0.01478947153,0.9411973605
Gm01.1488577,0.05392080094,0.250969371
Gm01.1490534,0.03895003849,0.4113382649
Gm01.1491105,0.04419383244,0.4545129466
Gm01.1511000,0.2749683923,0.09900370501
Gm01.1518229,0.002464737823,0.9597748543
Gm01.1562073,-0.04429030409,0.4493360923
Gm01.1562924,0.4346183489,0.03974592567
Gm01.1562961,0.1025971112,0.5625755925
Gm01.1563575,0.3809217962,0.1326932562
Gm01.1563987,-0.00885362025,0.8782363469
Gm01.1564592,0.04851096193,0.5345002417
Gm01.1575046,-0.2372457447,0.1875423063
Gm01.1576092,0.02310782243,0.6516884497
Gm01.1576560,0.01513787706,0.7658161241
Gm01.1577324,0.01745458446,0.8292849245
Gm01.1577552,0.008117897975,0.8697348093
Gm01.1580204,0.0383394944,0.8663970946
Gm01.1594058,0.06401291166,0.274940053
Gm01.1635267,0.03110658503,0.6254866855
Gm01.1635601,0.03204250723,0.7747322339
Gm01.1635777,-0.01258565537,0.8049227627
Gm01.1643606,-0.09745284008,0.5397478541
Gm01.1656177,0.05572847711,0.7637244463
Gm01.1674035,-0.1359867005,0.1762951511
Gm01.1691414,-0.006981719305,0.9720739078
Gm01.1735115,0.01103052086,0.8514342219
Gm01.1751005,0.0853893152,0.1420654594
Gm01.1752636,-0.07240747089,0.2184042708
Gm01.1790921,-0.004767043364,0.9833827686
Gm01.1818872,0.06808634864,0.7083234267
Gm01.1830836,0.05826349941,0.5031573211
Gm01.1833807,0.1083260896,0.5642926758
Gm01.1840332,0.04964843436,0.7672692719
Gm01.1840360,-0.04387213748,0.6802067533
Gm01.1841348,-0.03290725907,0.5885102795
Gm01.1844493,-0.08984535535,0.1440735262
Gm01.1844588,-0.003948168662,0.9330695509
Gm01.1889512,-0.3425544193,0.1400503043
Gm01.1906477,0.006425902505,0.9303438704
Gm01.1930501,-0.03392583358,0.7584234415
Gm01.1983224,0.01819528877,0.7272712792
Gm01.2002164,-0.04835365659,0.8083887065
Gm01.2013795,-0.01402232016,0.9480866799
Gm01.2016710,0.3072344337,0.138197988
Gm01.2042019,-0.07049952931,0.7554518868
Gm01.2044099,0.02502068918,0.7433028543
Gm01.2044379,0.07732779859,0.3763145965
Gm01.2044848,-0.4604725181,0.07550910721
Gm01.2044960,-0.1393757589,0.438456909
Gm01.2044964,-0.01078803502,0.8447781288
Gm01.2044978,0.1357799807,0.4272784259
Gm01.2045755,0.1731671374,0.4998407987
Gm01.2047637,0.03562932457,0.8401762861
Gm01.2048011,-0.0351280209,0.7873144746
Gm01.2048166,-0.2437185268,0.2532455838
Gm01.2048194,-0.1441522131,0.261301596
Gm01.2048596,-0.2224460161,0.1206034391
Gm01.2048606,0.1355969847,0.09206461584
Gm01.2048675,-0.2969518806,0.1947585117
Gm01.2048784,0.06633658678,0.6552466031
Gm01.2049116,-0.05844058475,0.798334997
Gm01.2049619,-0.1687687942,0.3378831917
Gm01.2049731,-0.1564580126,0.5183436616
Gm01.2050025,-0.1580926421,0.5577045794
Gm01.2093198,0.09432013084,0.6235750256
Gm01.2093812,-0.1411207651,0.2923760641
Gm01.2093860,0.03864571831,0.8884516476
Gm01.2095451,-0.07018700629,0.2642565276
Gm01.2096566,0.02792832276,0.9184645315
Gm01.2098922,0.05818282789,0.8326395061
Gm01.2098938,0.005945832965,0.9643443028
Gm01.2099052,0.1486228944,0.6785438659
Gm01.2099507,0.02314898064,0.6767310865
Gm01.2107106,-0.05855644685,0.8937868003
Gm01.2109093,0.1071282533,0.1004612871
Gm01.2123280,0.1046958318,0.2416387398
Gm01.2124170,0.06622258764,0.6035856505
Gm01.2141091,0.01691711014,0.7938476842
Gm01.2152138,0.08385631346,0.760551494
Gm01.2161567,0.005797629705,0.9666370268
Gm01.2162551,0.05272059245,0.3746018311
Gm01.2162609,0.02320426735,0.8367241648
Gm01.2171821,0.05793750498,0.5008633765
Gm01.2173096,0.04375024369,0.447949417
Gm01.2192476,-0.1960369296,0.3898775644
Gm01.2193550,0.1845638141,0.4234454719
Gm01.2193648,0.04801891299,0.4367251106
Gm01.2194043,0.08288023324,0.7316193153
Gm01.2198167,0.01458765773,0.7743953927
Gm01.2205405,-0.04357510562,0.7511628371
Gm01.2206390,0.07297059759,0.386909912
Gm01.2209760,0.01950743977,0.6984271735
Gm01.2213247,0.04381578143,0.7820194079
Gm01.2251100,-0.2061302463,0.2447749913
Gm01.2288576,-0.2073802202,0.2801860509
Gm01.2288627,0.08204207467,0.6848363592
Gm01.2289018,0.3661631181,0.1357888892
Gm01.2296938,0.009752316824,0.9620648248
Gm01.2305705,-0.05191135037,0.3095578054
Gm01.2329419,0.07890399618,0.4820287946
Gm01.2346184,0.1065113681,0.2567854358
Gm01.2347619,0.1387553217,0.4328158237
Gm01.2385917,-0.07050195097,0.705169822
Gm01.2413715,-0.0442069487,0.8155167264
Gm01.2439788,0.02604029465,0.7861709169
Gm01.2472949,-0.1353674571,0.3382428855
Gm01.2484626,0.3562154565,0.05496670787
Gm01.2492514,-0.003740580909,0.9739610157
Gm01.2493328,-0.07672833266,0.6777537853
Gm01.2506568,0.02736471368,0.8177177482
Gm01.2506949,0.02250496457,0.8459991164
Gm01.2529903,0.2556362972,0.1192065
Gm01.2530751,0.06934296848,0.6599890722
Gm01.2530859,-0.02644476951,0.9170362883
Gm01.2530938,0.165807399,0.03138944853
Gm01.2531497,0.01158975923,0.8647264806
Gm01.2538039,-0.3293280365,0.07179717004
Gm01.2540280,-0.1111974144,0.3815835298
Gm01.2540813,0.005997375251,0.9712486836
Gm01.2542864,0.0005068673067,0.9965752141
Gm01.2618417,0.1139116618,0.3955892384
Gm01.2618751,0.02194552299,0.6537721806
Gm01.2619409,0.118236089,0.3154028755
Gm01.2700907,-0.04996625709,0.6310690282
Gm01.2705392,-0.02215949595,0.6587330767
Gm01.2731218,0.09246762253,0.1242231765
Gm01.2731443,-0.05914990473,0.2870928949
Gm01.2737466,-0.06319461547,0.3860333722
Gm01.2752241,0.04458819948,0.4020009435
Gm01.2755119,0.1931776239,0.01972653948
Gm01.2766713,0.1267073757,0.1015207466
Gm01.2781921,-0.05898602229,0.4234230538
Gm01.2801633,0.05654873569,0.468616028
Gm01.2848930,0.00321685139,0.9531012924
Gm01.2852655,-0.09954414328,0.06484605476
Gm01.2860592,-0.2234236671,0.2757371116
Gm01.2862526,0.09018557959,0.5982775519
Gm01.2887466,0.05113063793,0.7197557515
Gm01.2897801,0.206664496,0.1316338012
Gm01.2898609,0.1306872596,0.409297287
Gm01.2898738,0.1520013519,0.4757001965
Gm01.2900147,-0.01201772691,0.8594185196
Gm01.2913250,0.04208556798,0.7304332267
Gm01.2913978,0.07945662811,0.3503554637
Gm01.2931250,-0.08636684878,0.5630047561
Gm01.2949615,-0.01126239998,0.9291519212
Gm01.2949810,-0.07617640785,0.3114122723
Gm01.2950319,-0.05922289248,0.6762848826
Gm01.3015242,0.04691283268,0.5731759967
Gm01.3016789,0.1268004263,0.02497760492
Gm01.3018576,0.01254014993,0.9366760235
Gm01.3038334,-0.008327164393,0.8705509165
Gm01.3060874,-0.1380768294,0.2643837826
Gm01.3107981,0.001938056825,0.9772999419
Gm01.3134270,0.04085872996,0.520972629
Gm01.3152459,0.02711041873,0.8777295239
Gm01.3163616,0.0267505164,0.76478002
Gm01.3163731,-0.04098048977,0.7641824155
Gm01.3169755,-0.05195825913,0.2908258017
Gm01.3171424,0.05047544424,0.7042846849
Gm01.3195608,-0.05452157588,0.6475823112
Gm01.3197014,0.1788738233,0.04243689864
Gm01.3197426,0.00647359423,0.9062089886
Gm01.3199630,0.1096335374,0.04709227413
Gm01.3245483,-0.01522880676,0.9341525415
Gm01.3269913,0.05622996324,0.2941584551
Gm01.3282661,0.0312097222,0.5135253827
Gm01.3293225,-0.1416356074,0.2135646259
Gm01.3330785,-0.06724471475,0.4502811734
Gm01.3331491,-0.2954306453,0.1115005209
Gm01.3333764,0.2600848544,0.0414126927
Gm01.3345274,0.116726325,0.3771836333
Gm01.3364436,-0.2288078376,0.01928574269
Gm01.3374705,0.04198364652,0.4019424486
Gm01.3378171,0.06445100289,0.625179837
Gm01.3378344,0.1278088718,0.5749424937
Gm01.3380192,-0.1834742812,0.07558609949
Gm01.3381025,0.07789306139,0.2480145062
Gm01.3382963,0.06022795208,0.2250145756
Gm01.3383319,0.09763259726,0.07385339739
Gm01.3393610,0.03196344816,0.8038516736
Gm01.3393634,0.1391123694,0.5121222011
Gm01.3407030,0.0175024628,0.7519157946
Gm01.3409058,-0.1254620812,0.4199844629
Gm01.3409323,-0.162346207,0.2222547169
Gm01.3409358,0.06649321482,0.7717096433
Gm01.3409377,0.02277497545,0.7287684085
Gm01.3409397,-0.06965914252,0.6290496855
Gm01.3409509,0.06683358005,0.2263001394
Gm01.3416570,-0.01979348713,0.9164895721
Gm01.3428842,0.02618559681,0.8416660549
Gm01.3456971,0.1044840449,0.6069112432
Gm01.3457262,-0.5616941031,0.02870619715
Gm01.3457358,-0.1119085013,0.1432852662
Gm01.3457574,-0.1464136227,0.04321248592
Gm01.3458940,-0.05904530615,0.5981827047
Gm01.3459099,-0.3036368911,0.07803041986
Gm01.3459438,-0.02256313069,0.8801854655
Gm01.3459672,-0.3010980102,0.1307157801
Gm01.3459704,-0.02800938321,0.8109314573
Gm01.3459796,-0.285500001,0.1297932626
Gm01.3460374,0.2150110888,0.19489054
Gm01.3460375,-0.02881943772,0.5651965488
Gm01.3488065,-0.1044691265,0.1754451139
Gm01.3489079,-0.1826625924,0.3779147961
Gm01.3489583,-0.125543741,0.5485062773
Gm01.3489616,0.02830259181,0.5998494261
Gm01.3490363,0.03234036955,0.8561611301
Gm01.3491437,0.3804671686,0.173047368
Gm01.3491802,-0.1117694234,0.1294064494
Gm01.3514597,0.119591474,0.443473839
Gm01.3514861,0.2415167835,0.440723246
Gm01.3515027,0.02595328993,0.6240476274
Gm01.3530320,0.2000057596,0.138884269
Gm01.3538383,0.5709234976,0.002973619255
Gm01.3546836,0.1871168726,0.04929213138
Gm01.3547773,-0.1057907909,0.5983536693
Gm01.3565445,-0.1304201356,0.02485210806
Gm01.3571972,0.03973839507,0.5989612025
Gm01.3577672,-0.421199943,0.009340167668
Gm01.3578462,-0.03582722732,0.7771025063
Gm01.3589569,0.05935660924,0.8176642432
Gm01.3605644,-0.04192707084,0.7438298016
Gm01.3614992,-0.1213163555,0.05384597493
Gm01.3626724,-0.05956279408,0.2521126116
Gm01.3639259,-0.03198657236,0.537555646
Gm01.3646179,0.2058150967,0.3822701184
Gm01.3646422,-0.1117911094,0.3912530723
Gm01.3648542,-0.04877089601,0.648383869
Gm01.3648746,0.1851049968,0.14204661
Gm01.3649038,-0.2660182692,0.07238887441
Gm01.3649504,0.02715666203,0.8189515142
Gm01.3649612,-0.08121808124,0.2459752811
Gm01.3649944,-0.09284320486,0.07608618441
Gm01.3679495,-0.1056864457,0.08390046075
Gm01.3741183,0.09293734588,0.6014527299
Gm01.3756197,-0.1723453092,0.3061913632
Gm01.3756562,-0.07118512831,0.5714404165
Gm01.3762675,-0.06120532122,0.318890078
Gm01.3771934,-0.04888860318,0.4083951917
Gm01.3789943,-0.0998707117,0.08580954576
Gm01.3797490,0.09855179253,0.4803180809
Gm01.3798629,-0.04065586654,0.7444570188
Gm01.3799117,-0.1055138444,0.06733060836
Gm01.3799273,-0.001594958498,0.97524623
Gm01.3801245,0.0804680835,0.1884861263
Gm01.3802369,0.00684283946,0.9568109166
Gm01.3802461,0.1620829324,0.4255324868
Gm01.3806274,-0.005500681666,0.9156084564
Gm01.3823168,0.03298319828,0.8064696211
Gm01.3825194,0.1059830494,0.2737908226
Gm01.3825426,-0.01863489826,0.7186377804
Gm01.3917429,-0.0804863564,0.1680475518
Gm01.3947398,0.1483493207,0.2857582115
Gm01.3960245,-0.1259635648,0.05382377411
Gm01.4012348,0.099319886,0.1015657025
Gm01.4016263,0.04927403362,0.721585748
Gm01.4016284,0.03915373882,0.4784227457
Gm01.4027941,0.1024172549,0.03972247343
Gm01.4041171,0.02072881601,0.8720930824
Gm01.4092820,-0.08072240205,0.08729606118
Gm01.4094413,0.01289360025,0.7965749782
Gm01.4131184,-0.09563847946,0.5512987871
Gm01.4213208,0.1657214586,0.5073217251
Gm01.4213778,0.07366309499,0.6171623808
Gm01.4216742,0.01268643311,0.8689532353
Gm01.4218984,-0.01712212821,0.7147206301
Gm01.4235452,-0.02182567702,0.6412041752
Gm01.4258005,-0.1248714499,0.22519208
Gm01.4271027,-0.06847512134,0.7697040474
Gm01.4300685,-0.1659868275,0.3500024942
Gm01.4302357,-0.03945903796,0.8466345997
Gm01.4305781,0.0001411881639,0.997585485
Gm01.4306482,0.01849916387,0.8703304604
Gm01.4309088,0.05697755586,0.4320298881
Gm01.4321344,0.1968763754,0.2189107378
Gm01.4342440,0.1334076973,0.4678655172
Gm01.4357522,-0.448685618,0.08377335054
Gm01.4373728,0.1291656203,0.01079422605
Gm01.4375537,-0.06253795745,0.2970215711
Gm01.4375782,-0.03847936781,0.8188106455
Gm01.4389727,-0.005599062778,0.9649813411
Gm01.4404283,0.06993303909,0.663453629
Gm01.4421648,0.1014013522,0.5759834431
Gm01.4432669,-0.1519024383,0.1414805473
Gm01.4459388,-0.03476954395,0.6817446507
Gm01.4485549,0.1773214914,0.228537332
Gm01.4494916,0.002575051787,0.9671079085
Gm01.4494925,-0.02104904124,0.8580674227
Gm01.4496269,-0.2989181264,0.1948555505
Gm01.4496361,-0.007286039711,0.8884121452
Gm01.4496363,-0.02886475242,0.8444372089
Gm01.4560175,-0.06038706098,0.7386089841
Gm01.4560317,0.2231379866,0.3473225545
Gm01.4612118,-0.05507987461,0.5415696586
Gm01.4617834,-0.005086502355,0.9703445612
Gm01.4649541,-0.02683035342,0.6304948617
Gm01.4673036,-0.03520735509,0.5989874038
Gm01.4708513,-0.02532651567,0.6922888225
Gm01.4710207,0.2659406752,0.05905340767
Gm01.4710861,0.1708590815,0.3426978737
Gm01.4713438,0.01678789589,0.7445266812
Gm01.4730645,0.05734226611,0.2824255024
Gm01.4777019,-0.007454555487,0.9642894591
Gm01.4829183,-0.08740233884,0.1131962455
Gm01.4845489,-0.02323570287,0.6434452901
Gm01.4845769,-0.04381800627,0.3915458406
Gm01.4880912,-0.01153398152,0.8749020475
Gm01.4972988,-0.04424632611,0.562022148
Gm01.5024761,-0.41428237,0.01355538212
Gm01.5142765,0.1644263074,0.1023730279
Gm01.5243119,0.07293383162,0.1856530377
Gm01.5244770,0.0001958737086,0.9983722759
Gm01.5244775,-0.03911747333,0.7611143189
Gm01.5338610,-0.0238119224,0.8834603499
Gm01.5363401,0.08119930676,0.1436156847
Gm01.5450109,0.04322758267,0.5278878305
Gm01.5466178,-0.08324359769,0.2285153218
Gm01.5468450,0.2578588072,0.02094595059
Gm01.5485231,0.1915336636,0.07040260471
Gm01.5504465,0.08712797879,0.4192524333
Gm01.5504544,-0.00932252907,0.8883415657
Gm01.5522460,-0.008587802998,0.9507705646
Gm01.5523763,0.2166192966,0.04421960092
Gm01.5528809,0.09183406416,0.7432539767
Gm01.5530173,0.1774559704,0.09635990931
Gm01.5532192,0.09895063668,0.3560989625
Gm01.5552328,0.02690425919,0.7827977624
Gm01.5594823,0.4943498855,0.05738715125
Gm01.5629740,-0.07753625908,0.5971095384
Gm01.5630082,0.08606382071,0.4459540934
Gm01.5630200,0.07664171106,0.6697725337
Gm01.5696233,0.2868101806,0.1850708723
Gm01.5710982,-0.1699731604,0.4181968897
Gm01.5711034,-0.09052994943,0.278946674
Gm01.5711118,0.1009663724,0.4921587048
Gm01.5711176,0.0286778862,0.9023602348
Gm01.5965288,-0.2444347686,0.1006276427
Gm01.5969555,-0.217777134,0.08488877401
Gm01.5994993,-0.03049475182,0.5944917145
Gm01.5995996,0.1097345711,0.484582098
Gm01.6015676,-0.07118319847,0.213168008
Gm01.6040353,-0.09978744416,0.6907471125
Gm01.6050243,0.2871735379,0.2945949466
Gm01.6050341,-0.01730723147,0.8923201781
Gm01.6051058,-0.03280345427,0.6042195924
Gm01.6052317,0.01158311506,0.8387361508
Gm01.6087881,0.01891733945,0.7392592636
Gm01.6088136,-0.02958949076,0.8482465245
Gm01.6092280,0.08944667733,0.65110947
Gm01.6115554,-0.01649378088,0.776257311
Gm01.6115733,0.007082520631,0.9774679158
Gm01.6281725,-0.1378155704,0.4189232793
Gm01.6298198,-0.1071626143,0.4516326143
Gm01.6298271,-0.251073689,0.3308262905
Gm01.6299089,0.0517285671,0.3725996413
Gm01.6299522,-0.1929408764,0.2400789014
Gm01.6318878,0.006285267155,0.9681164233
Gm01.6318988,0.01642993049,0.7766889596
Gm01.6319101,-0.006233172592,0.9620292518
Gm01.6319974,0.05165656411,0.8080228551
Gm01.6320429,-0.2017754405,0.1286582926
Gm01.6320567,-0.5366081717,0.005601729116
Gm01.6334571,0.2002931632,0.2130112602
Gm01.6432120,-0.05652185373,0.7631067918
Gm01.6522131,-0.105256229,0.4242847832
Gm01.6523052,0.1770226597,0.4347493156
Gm01.6523861,0.0573620185,0.3358467519
Gm01.6524966,0.1007971141,0.07390606415
Gm01.6528221,0.1049491833,0.2469318132
Gm01.6528662,0.07898998065,0.4634613497
Gm01.6530200,-0.06881362603,0.603702446
Gm01.6532183,0.05493301859,0.3368103988
Gm01.6532740,0.318142645,0.1280702923
Gm01.6534684,-0.1475086114,0.4937285352
Gm01.6535600,0.05459177238,0.6735200165
Gm01.6624368,0.09018800514,0.5216749664
Gm01.6624672,-0.234285361,0.2311974673
Gm01.6636789,0.04398762546,0.7277722055
Gm01.6637685,0.1019258323,0.5341213853
Gm01.6755953,-0.03417111947,0.7095762627
Gm01.6788735,-0.221232661,0.295966144
Gm01.6788762,-0.07835387241,0.5097542476
Gm01.6791512,0.1424987935,0.3330581375
Gm01.6792287,-0.08835214137,0.3862862305
Gm01.6792685,-0.08610331628,0.3749462436
Gm01.6814071,-0.06985948881,0.6573348176
Gm01.6814453,-0.07695761077,0.7166072431
Gm01.6836097,0.04107729194,0.7901613063
Gm01.6836213,0.3432441383,0.09878905667
Gm01.6836276,0.04043255453,0.8312188885
Gm01.6966342,0.08638837704,0.2638177549
Gm01.6974254,-0.02917408988,0.7265847091
Gm01.7021020,-0.02826961747,0.629782958
Gm01.7023359,-0.009988571272,0.9542073421
Gm01.7023375,0.1948506235,0.3166173631
Gm01.7072677,-0.2950520583,0.1446446237
Gm01.7072796,-0.005194329082,0.9303412041
Gm01.7072825,-0.004281651754,0.983696738
Gm01.7072932,0.008379158422,0.8947528872
Gm01.7073040,-0.02412757977,0.7219359575
Gm01.7073296,-0.1019453584,0.6640125808
Gm01.7109232,-0.01975003525,0.7149190704
Gm01.7179368,-0.00792363415,0.8861790371
Gm01.7221987,-0.08039814716,0.6737205735
Gm01.7222584,0.03519678577,0.5176084794
Gm01.7268061,0.04388211115,0.4663944433
Gm01.7269756,-0.08753777897,0.4018443548
Gm01.7308162,-0.02373226652,0.6654107738
